id,cod_concedente,cod_financiador,cod_gestora,cod_orgao,cod_secretaria,descricao_modalidade,descricao_objeto,descricao_tipo,descricao_url,data_assinatura,data_processamento,data_termino,flg_tipo,isn_parte_destino,isn_sic,num_spu,valor_contrato,isn_modalidade,isn_entidade,tipo_objeto,num_spu_licitacao,descricao_justificativa,valor_can_rstpg,data_publicacao_portal,descricao_url_pltrb,descricao_url_ddisp,descricao_url_inexg,cod_plano_trabalho,num_certidao,descriaco_edital,cpf_cnpj_financiador,num_contrato,valor_original_concedente,valor_original_contrapartida,valor_atualizado_concedente,valor_atualizado_contrapartida,created_at,updated_at,plain_num_contrato,calculated_valor_aditivo,calculated_valor_ajuste,calculated_valor_empenhado,calculated_valor_pago,contract_type,infringement_status,cod_financiador_including_zeroes,accountability_status,plain_cpf_cnpj_financiador,descricao_situacao,data_publicacao_doe,descricao_nome_credor,isn_parte_origem,data_auditoria,data_termino_original,data_inicio,data_rescisao,confidential,gestor_contrato,data_finalizacao_prestacao_contas,sequential,emergency,law,has_non_profit_transfer,nome_fiscal
540756,310201,212967,310201,31200002,31000000,PREGÃO ELETRÔNICO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE MÃO DE OBRA TERCEIRIZADA, CUJOS EMPREGADOS SEJAM REGIDOS PELA CONSOLIDAÇÃO DAS LEIS TRABALHISTAS (CLT), PARA ATENDER AS NECESSIDADES DAS ÁREAS TÉCNICA ADMINISTRATIVA E SERVIÇOS DIVERSOS",CONTRATO,20240122.1303759.Integra.CONTRATO.pdf,2024-01-02 00:00:00-03:00,2025-08-09 11:00:07-03:00,2026-01-02 00:00:00-03:00,51,315313,1303759,31022.000014/2024-84,1033539.12,0,1797,Locação/Terceirização de Mão-de-obra,31022000108202372,"A contratação de empresa especializada na prestação de serviços de locação de mão de obra terceirizada, justifica-se pela necessidade de pessoal para atender as demandas da Universidade Estadual Vale do Acaraú ¿ UVA, A aludida contratação visa melhorar o atendimento nos quatro campi da Universidade em questão. A contratação de mão de obra terceirizada, em que os empregados serão regidos pela Consolidação das Leis Trabalhistas (CLT), nas categorias de Asseio e Conservação, deverá ocorrer em razão desta I.E.S. não possuir, em seu quadro de profissionais efetivos, recursos humanos necessários ou suficientes para exercer as atividades administrativas e acadêmicas. Devemos ressaltar que o último concurso foi realizado em 1994 e que infelizmente não há previsão para concurso público desta natureza administrativa e para solucionar tal problema se propõe um acordo contratual entre a Administração Superior da UVA e a Secretaria de Planejamento em conceder vagas de terceirização. Ademais, ao longo dos anos, é necessário se recordar que ocorreram inúmeros afastamentos de servidores por aposentadoria, falecimento, cessão à outros órgãos, e outros na eminência de aposentadoria, gerando carências no quadro funcional já bastante reduzido para execução das atividades de apoio necessárias e essenciais para o bom funcionamento e alcance das metas dessa I.E.S., para tanto, se faz necessário contar com a cooperação de empresa especializada na área. Em face do exposto e, por conta da carência de quadro funcional próprio e por termos um quadro de terceirização que não atende toda a nossa estrutura de trabalho, faz-se necessária à contratação de serviço de empresa especializada na prestação de serviços de locação de mão de obra terceirizada, com o objetivo de oferecer uma estrutura mínima de assistência a comunidade universitária que integra os campi da UVA (CIDAO, BET NIA, JUNCO e DERBY). Devemos enfatizar, neste momento, que tratando-se das vagas de Assistente Técnico IV, será necessário a prestação do serviço com uma carga horária completa, pois acompanhará o setor da Reitoria em todos os assuntos da gestão da Universidade. Cada hora de exercício efetivo de trabalho nos serviços dos colaboradores são de fundamental necessidade para desenvolvermos uma condução satisfatória da execução das atividades dos setores na Universidade em consonância com seus objetivos, metas e processos de gestão institucional. A referida contratação visa também atender as determinações constantes na Instrução Normativa Conjunta nº 003/2022- SEPLAG/CGE/SEFAZ publicada em 30 de dezembro de 2022, que disciplina o uso da conta vinculada-bloqueada para movimentação, a que se refere a Lei N° 15.950 de 14 de janeiro de 2016, alterada pela Lei 16.910, de 19 de junho de 2019, para cumprir com as determinações deste novo mecanismo de operacionalização. Dessa forma, a contratação é de suma importância para complementar as demais áreas de atuação desta I.E.S., para garantir a prestação de serviço de qualidade, bem como, promover o crescimento da Instituição ao atendimento a comunidade acadêmica da região norte e outras que se façam necessárias. Nessa perspetiva, vale salientar que a referida contratação não possui impedimento em face da Resolução nº 5438/2018 do Tribunal de Contas do Ceará ¿ TCE e a Súmula 331 do TST, devido a ausência de Concurso Público desde 1994 para Servidores Técnicos-Administrativos e a necessidade diária dos serviços da Categoria que integram a demanda ora exposta. Assim, considerando a necessidade, bem como, a continuidade dos serviços educacionais da UVA não deverá sofrer interrupções, causando sérios prejuízos à comunidade acadêmica assistida por esta IES.",648.05,2024-11-21T00:00:00.000-03:00,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2023/26061,01. PROCESSO LICITATÓRIO,04.367.730/0001-86,044/2023,1033539.12,0.0,2207754.48,0.0,2024-01-23T13:01:49.227-03:00,2025-10-19T13:15:41.462-03:00,0442023,1174215.36,0.0,1484291.01,1446259.7,contrato,0,00212967,,04367730000186,EM EXECUÇÃO - NORMAL,2024-01-12T00:00:00.000-03:00,SLS TERCEIRIZAÇÃO DE SERVIÇOS EIRELI-EPP,203190,2025-08-07,2025-01-02T00:00:00.000-03:00,2024-01-02T00:00:00.000-03:00,,False,Betania Moreira de Moraes Guerra,0001-01-01,89,False,,,
540917,228790,918984,220001,22000000,22000000,CARTA CONVITE,CONSTRUÇÃO DE UMA SALA DE AULA  EEM DIONE MARIA BEZERRA PESSOA(CREDE 9 - HORIZONTE),CONTRATO,20240125.1303902.Integra.CONTRATO.pdf,2024-01-02 00:00:00-03:00,2024-09-28 09:20:07-03:00,2024-09-25 00:00:00-03:00,51,707357,1303902,22001.038939/2023-74,139919.08,0,1771,Outros,22001038939202374,Melhoria da qualidade das escolas.,0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2023/30360,01. PROCESSO LICITATÓRIO,27.234.752/0001-73,1/2024,139919.08,0.0,139919.08,0.0,2024-01-29T13:08:51.712-03:00,2025-10-01T16:40:31.024-03:00,12024,0.0,0.0,139919.08,139919.08,contrato,0,00918984,,27234752000173,VENCIDO,2024-01-30T00:00:00.000-03:00,CC CONSTRUCOES E SERVICOS LTDA,652791,2024-09-26,2024-07-28T00:00:00.000-03:00,2024-01-30T00:00:00.000-03:00,,False,MONICA LAURENTINO MARTINS,,250,False,,,MONICA LAURENTINO MARTINS
541624,310501,877804,310501,31200005,31000000,INEXIGIBILIDADE,"Contratação da empresa Tekis Tecnologias AvançadasLtda., por um período de 36 (trinta e seis) meses, que deverá prestar serviços de licenciamento temporário de uso, implantação, suporte e manutenção dos sistemas daversão Standard da solução denominada Stela Experta©-PG, visando apoiar a gestãoestratégica de informações sobre os programas de pós-graduação (PPGs) do Estado do Ceará, no valor global de 515.453,00 (quinhentos e quinze mil, quatrocentos e cinquenta e três reais), conforme as especificações do processo NUP nº 31052.001535/2023-11.",CONTRATO,20240202.1304558.Integra.CONTRATO.pdf,2024-01-02 00:00:00-03:00,2024-11-20 08:50:07-03:00,2027-01-02 00:00:00-03:00,51,667744,1304558,31052.001535/2023-11,515453.0,0,1800,,31052001535202311,Para atender a necessidade desta Fundação,0.0,2024-11-18T00:00:00.000-03:00,Sem Pltrb,Sem DecDisp,20240202.1304558.Declaracao.Inexigibilidade.CONTRATO.pdf,,2024/00680,01. PROCESSO LICITATÓRIO,07.674.744/0001-30,01/2024,515453.0,0.0,515453.0,0.0,2024-02-06T13:04:35.514-03:00,2025-10-12T09:01:36.041-03:00,012024,0.0,13524.81,317814.77,289011.04,contrato,0,00877804,,07674744000130,EM EXECUÇÃO - NORMAL,2024-02-06T00:00:00.000-03:00,TEKIS TECNOLOGIAS AVANÇADAS,203194,2024-11-18,2027-01-02T00:00:00.000-03:00,2024-01-02T00:00:00.000-03:00,,False,João Victor Barroso Nunes,0001-01-01,908,False,,,João Victor Barroso Nunes
540762,310201,264974,310201,31200002,31000000,PREGÃO ELETRÔNICO,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE MÃO DE OBRA TERCEIRIZADA, CUJOS EMPREGADOS SEJAM REGIDOS PELA CONSOLIDAÇÃO DAS LEIS TRABALHISTAS (CLT), PARA ATENDER AS NECESSIDADES DAS ÁREAS TÉCNICA ADMINISTRATIVA E SERVIÇOS DIVERSOS DA FAZENDA EXPERIMENTAL - FAEX/UVA",CONTRATO,20240122.1303757.Integra.CONTRATO.pdf,2024-01-02 00:00:00-03:00,2025-06-08 10:00:07-03:00,2026-01-02 00:00:00-03:00,51,411078,1303757,31022.000007/2024-82,1075444.2,0,1797,Locação/Terceirização de Mão-de-obra,086337112022,ATENDER A FAZENDA EXPERIMENTAL DA UVA,16108.22,2024-11-14T00:00:00.000-03:00,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2023/07358,01. PROCESSO LICITATÓRIO,07.468.050/0001-47,045/2023,1075444.2,0.0,2251995.12,0.0,2024-01-23T13:02:39.316-03:00,2025-10-19T13:14:03.334-03:00,0452023,1176550.92,0.0,1582449.11,1518189.52,contrato,0,00264974,,07468050000147,EM EXECUÇÃO - NORMAL,2024-01-12T00:00:00.000-03:00,CERTA SERVIÇOS EMPRESARIAIS E REPRESENTAÇÕES EIRELI,203190,2025-06-06,2025-01-02T00:00:00.000-03:00,2024-01-02T00:00:00.000-03:00,,False,Betania Moreira de Moraes Guerra,0001-01-01,95,False,,,
541434,241521,858438,241521,24200364,24000000,DISPENSA,PRESTAÇÃO DE SERVIÇOS EM HORAS DOS PROFISSIONAIS DA SAÚDE DA CATEGORIA DE FARMACÊUTICO BIOQUÍMICO  PARA O IPC,CONTRATO,20240202.1304533.Integra.CONTRATO.pdf,2024-01-02 00:00:00-03:00,2024-08-01 09:00:08-03:00,2024-07-02 00:00:00-03:00,51,712567,1304533,24001.038190/2023-91,136030.0,0,592,Locação/Terceirização de Mão-de-obra,24001038190202391,PRESTAÇÃO DE SERVIÇOS EM HORAS DOS PROFISSIONAIS DA SAÚDE DA CATEGORIA DE FARMACÊUTICO BIOQUÍMICO  PARA O IPC,0.0,,Sem Pltrb,20240202.1304533.Declaracao.Dispensa.CONTRATO.pdf,Sem DecInexg,,2023/29293,01. PROCESSO LICITATÓRIO,09.170.363/0001-40,1425/2023,136030.0,0.0,136030.0,0.0,2024-02-03T13:08:23.545-03:00,2025-06-26T13:58:20.444-03:00,14252023,0.0,0.0,77378.5,77378.5,contrato,0,00858438,,09170363000140,VENCIDO,2024-01-12T00:00:00.000-03:00,COOPERATIVA DE TRABALHO MULTIPROFISSIONAL DE SAUDE DO ESTADO DO CEARA,321995,2024-07-31,2024-07-02T00:00:00.000-03:00,2024-01-02T00:00:00.000-03:00,,False,MARLENE CHAGAS PASCOAL,,739,True,14133,,
541431,460001,870162,460001,46000000,46000000,DEFINIDA POR ORGANISMO FINANCIADOR,"Contratação do serviço de Auditoria de Demonstrações Financeiras com Propósito Especial, com a finalidade de realizar a supervisão anual da gestão financeira do Programa para a
Transformação Digital do Governo do Estado do Ceará - Programa Ceará Mais Digital.",CONTRATO,20240129.1304033.Integra.CONTRATO.pdf,2024-01-03 00:00:00-03:00,2025-04-10 10:30:07-03:00,2029-01-02 00:00:00-03:00,51,657565,1304033,46001.008369/2023-56,376676.38,0,1666,Outros,063182172023,"Contratação do serviço de Auditoria de Demonstrações Financeiras com Propósito Especial, com a finalidade de realizar a supervisão anual da gestão financeira do Programa para a
Transformação Digital do Governo do Estado do Ceará - Programa Ceará Mais Digital, PARA ATENDER AS DEMANDAS DA SEPLAG.",0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2023/20422,01. PROCESSO LICITATÓRIO,54.276.936/0001-79,61/2023,376676.38,0.0,376676.38,0.0,2024-02-03T13:08:19.638-03:00,2025-10-01T16:41:47.441-03:00,612023,0.0,0.0,75335.28,75335.28,contrato,0,00870162,,54276936000179,EM EXECUÇÃO - NORMAL,2024-01-12T00:00:00.000-03:00,BDO RCS AUDITORES INDEPENDENTES S.S.,394669,2025-04-08,2029-01-02T00:00:00.000-03:00,2024-01-03T00:00:00.000-03:00,,False,Deborah Mithya Barros Alexandre,,736,False,,,JACKELINE OLIVEIRA NOBRE RECAMONDE
550388,938827,923335,610001,61000000,61000000,PREGÃO ELETRÔNICO,REGISTRO DE PREÇO PARA AQUISIÇÕES DE MATERIAL DE CONSUMO - SACOS PARA LIXO.,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-01-03 00:00:00-03:00,2025-01-03 09:15:06-03:00,2024-12-31 00:00:00-03:00,52,714831,1315189,02648229/2022,797.0,0,4533,Material de Limpeza,026482292022,ATENDER AS NECESSIDADES DA SECRETARIA DA PESCA E AQUICULTURA,0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2022/06832,19. REGISTRO DE PREÇO,45.382.398/0001-06,,797.0,0.0,797.0,0.0,2024-05-07T13:05:45.134-03:00,2025-05-21T10:31:42.588-03:00,,0.0,0.0,400.0,400.0,contrato,0,00923335,,45382398000106,VENCIDO,,MARIA GOMES DOS SANTOS ,719266,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-01-03T00:00:00.000-03:00,,False,,,9156,False,,,
550451,938827,896303,610001,61000000,61000000,PREGÃO ELETRÔNICO,REGISTRO DE PREÇO PARA AQUISIÇÕES DE MATERIAL DE CONSUMO - SACOS PARA LIXO.,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-01-03 00:00:00-03:00,2025-01-03 09:15:06-03:00,2024-12-31 00:00:00-03:00,52,689258,1315193,02648229/2022,432.0,0,4533,Material de Limpeza,026482292022,ATENDER AS NECESSIDADES DA SECRETARIA DA PESCA E AQUICULTURA,0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2022/06832,19. REGISTRO DE PREÇO,33.614.493/0001-09,,432.0,0.0,432.0,0.0,2024-05-07T13:06:08.458-03:00,2025-05-21T10:31:42.982-03:00,,0.0,0.0,432.0,432.0,contrato,0,00896303,,33614493000109,VENCIDO,,ICLEANPRO COMERCIO E SERVICOS LTDA,719266,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-01-03T00:00:00.000-03:00,,False,,,9218,False,,,
543239,240001,923084,240401,24200004,24000000,PREGÃO ELETRÔNICO,Aquisição de 01 Esterilizador Por Peróxido De Hidrogênio para o Hospital Dr. Carlos Alberto Studart Gomes (Hospital de Messejana) HM/Rede SESA,CONTRATO,20240209.1305520.Integra.CONTRATO.pdf,2024-01-03 00:00:00-03:00,2025-03-01 10:30:07-03:00,2025-02-26 00:00:00-03:00,51,708773,1305520,03880305/2023,400000.0,0,1795,"Aquisição de Móveis, Máquinas e Equipamentos (Matl Permanente)",056916522020,Aquisição de 01 Esterilizador Por Peróxido De Hidrogênio para o Hospital Dr. Carlos Alberto Studart Gomes (Hospital de Messejana) HM/Rede SESA,0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2020/10615,19. REGISTRO DE PREÇO,32.494.340/0001-02,1424/2023,400000.0,0.0,400000.0,0.0,2024-02-24T13:07:37.167-03:00,2025-10-01T16:41:01.125-03:00,14242023,0.0,0.0,400000.0,400000.0,contrato,0,00923084,,32494340000102,VENCIDO,2024-02-26T00:00:00.000-03:00,ADVANCED STERILIZATION PRODUCTS DISTRIBUICAO E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,203041,2025-02-27,2025-02-26T00:00:00.000-03:00,2024-02-26T00:00:00.000-03:00,,False,Olavo Andrade Filho,,2310,False,,,Olavo Andrade Filho
544918,241321,835187,241321,24200234,24000000,PREGÃO ELETRÔNICO,AQUISIÇÃO DE MATERIAL DE CONSUMO (NAPA E TECIDO DE ALGODÃOZINHO E MORIM) PARA SUPRIR AS NECESSIDADES DO HOSPITAL DE SAÚDE MENTAL PROFESSOR FROTA PINTO POR UM PERÍODO DE 12 MESES,CONTRATO,20240305.1307992.Integra.CONTRATO.pdf,2024-01-03 00:00:00-03:00,2025-03-16 10:30:07-03:00,2025-03-13 00:00:00-03:00,51,632626,1307992,11413360/2022,45880.0,0,581,Outros,114133602022,AQUISIÇÃO DE MATERIAL DE CONSUMO,0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2023/11191,01. PROCESSO LICITATÓRIO,26.088.958/0001-70,1394/2023,45880.0,0.0,45880.0,0.0,2024-03-12T13:03:57.260-03:00,2025-10-01T16:29:54.451-03:00,13942023,0.0,0.0,45210.0,45210.0,contrato,0,00835187,,26088958000170,VENCIDO,2024-03-13T00:00:00.000-03:00,COMERCIAL MULTIVENDAS.COM LTDA,321254,2025-03-14,2025-03-13T00:00:00.000-03:00,2024-03-13T00:00:00.000-03:00,,False,LUIS CÉSAR ROGÉRIO,,3939,False,,,LUIS CÉSAR ROGÉRIO
