id,cod_concedente,cod_financiador,cod_gestora,cod_orgao,cod_secretaria,descricao_modalidade,descricao_objeto,descricao_tipo,descricao_url,data_assinatura,data_processamento,data_termino,flg_tipo,isn_parte_destino,isn_sic,num_spu,valor_contrato,isn_modalidade,isn_entidade,tipo_objeto,num_spu_licitacao,descricao_justificativa,valor_can_rstpg,data_publicacao_portal,descricao_url_pltrb,descricao_url_ddisp,descricao_url_inexg,cod_plano_trabalho,num_certidao,descriaco_edital,cpf_cnpj_financiador,num_contrato,valor_original_concedente,valor_original_contrapartida,valor_atualizado_concedente,valor_atualizado_contrapartida,created_at,updated_at,plain_num_contrato,calculated_valor_aditivo,calculated_valor_ajuste,calculated_valor_empenhado,calculated_valor_pago,contract_type,infringement_status,cod_financiador_including_zeroes,accountability_status,plain_cpf_cnpj_financiador,descricao_situacao,data_publicacao_doe,descricao_nome_credor,isn_parte_origem,data_auditoria,data_termino_original,data_inicio,data_rescisao,confidential,gestor_contrato,data_finalizacao_prestacao_contas,sequential,emergency,law,has_non_profit_transfer,nome_fiscal
543391,241291,884211,241291,24200214,24000000,PREGÃO ELETRÔNICO,"Aquisição de medicamentos através da ATA.2023/03454, para suprir as necessidades do HMCASG",DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-02-19T00:00:00.000-03:00,2025-01-03T09:15:06.000-03:00,2024-12-31T00:00:00.000-03:00,52,675646,1306755,00541153/2024,1200.0,0,579,Outros,012611362023,Aquisição de medicamentos.,0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2023/03454,19. REGISTRO DE PREÇO,11.034.934/0014-85,,1200.0,0.0,1200.0,0.0,2024-02-27T13:04:16.464-03:00,2025-05-21T10:30:56.278-03:00,,0.0,0.0,1200.0,1200.0,contrato,0,00884211,,11034934001485,VENCIDO,,NDS DISTRIBUIDORA DE MEDICAMENTOS LTDA,321252,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-02-19T00:00:00.000-03:00,,False,,,2450,False,,,
542546,240001,840314,240401,24200004,24000000,PREGÃO ELETRÔNICO,"AQUISIÇÃO DO MEDICAMENTO SITAGLIPTINA FOSFATO, METFORMINA CLORIDRATO, 50MG + 1000MG PARA ATENDER DEMANDAS JUDICIAIS.",DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-02-19T00:00:00.000-03:00,2025-01-03T09:15:06.000-03:00,2024-12-31T00:00:00.000-03:00,52,639058,1305918,24001.010561/2024-51,3055.92,0,1795,Outros,041838192022,"AQUISIÇÃO DO MEDICAMENTO SITAGLIPTINA FOSFATO, METFORMINA CLORIDRATO, 50MG + 1000MG PARA ATENDER DEMANDAS JUDICIAIS.",0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2023/20461,19. REGISTRO DE PREÇO,12.420.164/0009-04,,3055.92,0.0,3055.92,0.0,2024-02-19T13:07:51.303-03:00,2025-05-21T10:30:51.141-03:00,,0.0,0.0,3055.92,3055.92,contrato,0,00840314,,12420164000904,VENCIDO,,CM HOSPITALAR S A,203041,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-02-19T00:00:00.000-03:00,,False,,,1668,False,,,
543442,241291,804465,241291,24200214,24000000,PREGÃO ELETRÔNICO,Aquisição de medicamentos por meio da Ata nº 2023/10859 para atender as necessidades do HCASG.,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-02-19T00:00:00.000-03:00,2025-01-03T09:15:06.000-03:00,2024-12-31T00:00:00.000-03:00,52,595877,1306859,00541056/2024,2160.0,0,579,Outros,028823552023,Aquisição de medicamentos.,0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2023/10859,19. REGISTRO DE PREÇO,60.665.981/0009-75,,2160.0,0.0,2160.0,0.0,2024-02-27T13:04:39.524-03:00,2025-05-21T10:30:56.597-03:00,,0.0,0.0,2160.0,2160.0,contrato,0,00804465,,60665981000975,VENCIDO,,UNIAO QUIMICA FARMACEUTICA NACIONAL S A,321252,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-02-19T00:00:00.000-03:00,,False,,,2501,False,,,
542547,240001,838184,240401,24200004,24000000,PREGÃO ELETRÔNICO,"AQUISIÇÃO DE ALGODAO, PH ENTRE 5.0 E 8.0 COM PROPRIEDADES HIDROFILICAS MENOR QUE 30 SEGUNDOS, COR BRANCO NEVE, HIDROFILO ROLO 500G, MANTA UNIFORME DE ALGODAO ABSORVENTE, LIVRE DE IMPUREZAS, MANCHAS OU QUALQUER OUTRO DEFEITO, LIVRE DE ALVEJANTE OPTICO E INGREDIENTES TOXICOS PARA ATENDER DEMANDAS JUDICIAIS.",DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-02-19T00:00:00.000-03:00,2025-01-03T09:15:06.000-03:00,2024-12-31T00:00:00.000-03:00,52,636296,1305916,24001.010510/2024-29,1015.28,0,1795,Outros,106146052022,"AQUISIÇÃO DE ALGODAO, PH ENTRE 5.0 E 8.0 COM PROPRIEDADES HIDROFILICAS MENOR QUE 30 SEGUNDOS, COR BRANCO NEVE, HIDROFILO ROLO 500G, MANTA UNIFORME DE ALGODAO ABSORVENTE, LIVRE DE IMPUREZAS, MANCHAS OU QUALQUER OUTRO DEFEITO, LIVRE DE ALVEJANTE OPTICO E INGREDIENTES TOXICOS PARA ATENDER DEMANDAS JUDICIAIS.",0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2022/32099,19. REGISTRO DE PREÇO,13.576.534/0001-02,,1015.28,0.0,1015.28,0.0,2024-02-19T13:08:04.579-03:00,2025-05-21T10:30:51.147-03:00,,0.0,0.0,1015.28,1015.28,contrato,0,00838184,,13576534000102,VENCIDO,,MEDMAIA COMERCIO DE PRODUTOS MEDICOS LTDA -ME,203041,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-02-19T00:00:00.000-03:00,,False,,,1669,False,,,
548446,241291,922870,241291,24200214,24000000,PREGÃO ELETRÔNICO,Aquisição de material medico hospitalar de acordo com a ata n° 2023/18378 para atender as necessidades do HMCASG,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-02-19T00:00:00.000-03:00,2025-01-03T09:15:06.000-03:00,2024-12-31T00:00:00.000-03:00,52,708660,1312793,08135225/2023,21288.0,0,579,Outros,110421412022,Aquisição de material médico hospitalar.,0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2022/32495,19. REGISTRO DE PREÇO,37.438.274/0001-77,,21288.0,0.0,21288.0,0.0,2024-04-18T13:04:40.732-03:00,2025-05-21T10:31:30.276-03:00,,0.0,0.0,21288.0,21288.0,contrato,0,00922870,,37438274000177,VENCIDO,,SELLMED PRODUTOS MEDICOS E HOSPITALARES LTDA,321252,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-02-19T00:00:00.000-03:00,,False,,,7290,False,,,
542842,101031,938965,101031,10100003,10000000,PREGÃO ELETRÔNICO,"Serviço de realização de exames laboratoriais e de imagens, procedimentos e cirurgias nos solípedes da Polícia Militar do Ceará.",CONTRATO,20240220.1304521.Integra.CONTRATO.pdf,2024-02-19T00:00:00.000-03:00,2025-02-24T10:30:07.000-03:00,2025-02-22T00:00:00.000-03:00,51,719485,1304521,10061.017051/2023-12,327673.08,0,2843,Outros,038891982021,"Serviço de realização de exames laboratoriais e de imagens, procedimentos e cirurgias nos solípedes da Polícia Militar do Ceará.",0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2022/00050,01. PROCESSO LICITATÓRIO,33.697.341/0001-17,1304521,327673.08,0.0,327673.08,0.0,2024-02-21T13:04:01.656-03:00,2025-06-12T13:09:15.401-03:00,1304521,0.0,0.0,157398.58,151970.38,contrato,0,00938965,,33697341000117,VENCIDO,2024-02-22T00:00:00.000-03:00,LCD LABORATORIO CEARENSE DE DIAGNOSTICOS LTDA,330557,2025-02-23,2025-02-22T00:00:00.000-03:00,2024-02-22T00:00:00.000-03:00,,False,José Luiz Lima Colares,,1941,False,,,
543318,241291,830608,241291,24200214,24000000,PREGÃO ELETRÔNICO,"Aquisição de medicamentos através da ATA.2023/00082, para suprir as necessidades do HMCASG",DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-02-19T00:00:00.000-03:00,2025-01-03T09:15:06.000-03:00,2024-12-31T00:00:00.000-03:00,52,626669,1306743,00540548/2024,1599.75,0,579,Outros,002756212023,Aquisição de medicamentos.,0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2023/00082,19. REGISTRO DE PREÇO,12.889.035/0001-02,,1599.75,0.0,1599.75,0.0,2024-02-27T13:02:59.531-03:00,2025-05-21T10:30:55.816-03:00,,0.0,0.0,1599.75,1599.75,contrato,0,00830608,,12889035000102,VENCIDO,,INOVAMED HOSPITALAR LTDA,321252,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-02-19T00:00:00.000-03:00,,False,,,2377,False,,,
543589,241311,854083,241311,24200204,24000000,PREGÃO ELETRÔNICO,"Adesão a Ata de Registro de Preço n° 15881/2023, Pregão Eletrônico n° 2248/2022, cujo objeto é a aquisição de INSUMOS DE LABORATÓRIO, para o HIAS",DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-02-19T00:00:00.000-03:00,2025-01-03T09:15:06.000-03:00,2024-12-31T00:00:00.000-03:00,52,649214,1306956,24001.011000/2024-79,2880.0,0,578,Outros,058256872022,"Sem justificativa, devido ao cadastro ser de despesa sem instrumento contratual.",0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2022/25990,19. REGISTRO DE PREÇO,17.892.706/0001-08,,2880.0,0.0,2880.0,0.0,2024-02-28T13:04:20.182-03:00,2025-05-21T10:30:57.562-03:00,,0.0,0.0,2880.0,2880.0,contrato,0,00854083,,17892706000108,VENCIDO,,GLOBAL COMERCIAL EIRELI-ME,321251,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-02-19T00:00:00.000-03:00,,False,,,2643,False,,,
544701,227010,885651,220001,22000000,22000000,DISPENSA,"Aquisição de Gêneros Alimentícios (Açúcar), destinado a atender as necessidades da CREDE 10 ¿ Russas.",CONTRATO,20240301.1306379.Integra.CONTRATO.pdf,2024-02-19T00:00:00.000-03:00,2025-09-26T11:00:07.000-03:00,2025-02-12T00:00:00.000-03:00,51,677297,1306379,22001.021455/2024-77,800.0,0,1771,Outros,22001021455202477,MELHORIA DA QUALIDADE DE ENSINO,0.0,0001-01-01T00:00:00.000-02:34,Sem Pltrb,20240227.1306379.Declaracao.Dispensa.CONTRATO.pdf,Sem DecInexg,,2024/00985,01. PROCESSO LICITATÓRIO,30.452.180/0001-03,01/2024,800.0,0.0,800.0,0.0,2024-03-09T13:07:26.345-03:00,2025-09-26T13:11:31.533-03:00,012024,0.0,0.0,800.0,800.0,contrato,0,00885651,,30452180000103,VENCIDO,2024-03-15T00:00:00.000-03:00,MARIA ADAGLENE MOREIRA DE SOUSA GOMES,587783,2025-09-24,2025-02-12T00:00:00.000-03:00,2024-02-19T00:00:00.000-03:00,,False,DINARDO ALVES DA SILVA,,3727,False,,,
544027,241311,870879,241311,24200204,24000000,PREGÃO ELETRÔNICO,"Adesão a Ata de Registro de Preço n° 11722/2023, Pregão Eletrônico n° 0083/2023, cujo objeto é a aquisição de MEDICAMENTOS, para o HIAS",DESPESA.SEM.INSTRUMENTO.CONTRATUAL,Sem Íntegra,2024-02-19T00:00:00.000-03:00,2025-01-03T09:15:06.000-03:00,2024-12-31T00:00:00.000-03:00,52,658445,1307492,24001.011263/2024-88,163.2,0,578,Outros,114860662022,"Sem justificativa, devido ao cadastro ser de despesa sem instrumento contratual.",0.0,,Sem Pltrb,Sem DecDisp,Sem DecInexg,,2022/32473,19. REGISTRO DE PREÇO,27.589.757/0001-19,,163.2,0.0,163.2,0.0,2024-03-02T13:08:30.913-03:00,2025-05-21T10:31:00.391-03:00,,0.0,0.0,163.2,163.2,contrato,0,00870879,,27589757000119,VENCIDO,,BELIEVE FARMA COMERCIO DE MEDICAMENTOS E MATERIAIS HOSPITALARES LTDA,321251,2025-01-01,2024-12-31T00:00:00.000-03:00,2024-02-19T00:00:00.000-03:00,,False,,,3072,False,,,
